Dataset,Base RMSE,Base NRMSE,Offline RMSE,Offline NRMSE,Online RMSE,Online NRMSE,Periodic RMSE,Periodic NRMSE,Online Runtime,Periodic Runtime
kdd-T3,10.061182104843462,0.048371067811747416,10.073014459178793,0.04842795413066728,10.073014459178793,0.04842795413066728,10.022915519941035,0.04818709384587036,0.5852890014648438,66.5276129245758
nn5-T5,7.861987540488569,0.11055038677897033,7.791557210569242,0.10956003921438133,7.791557210569242,0.10956003921438133,7.7389641269770175,0.10882050793134677,0.11794781684875488,4.506072282791138
nn5-T4,7.396623399367628,0.13598377984871798,7.103629801288363,0.1305972169825187,7.103629801288363,0.1305972169825187,6.964682420549146,0.12804272839863146,0.11844801902770996,5.081673860549927
kdd-T2,37.052329666384146,0.01705908364014003,37.68284954544304,0.017349378243758307,37.228202135880025,0.017140056231988963,38.50385922769476,0.01772737533503442,5.9861390590667725,69.11539125442505
nn5-T6,8.378368654370075,0.13893717796765043,8.463825923438117,0.14035430250476938,8.463825923438117,0.14035430250476938,8.447028556356827,0.14007575439166575,0.13425493240356445,4.295674085617065
nn5-T7,6.855493519593272,0.1442659179070984,6.832132112641727,0.14377430416582163,6.832132112641727,0.14377430416582163,6.804425943483411,0.1431912599380224,0.11725401878356934,4.6527931690216064
kdd-T1,13.722272597821194,0.019299961459664127,13.481002453734671,0.01896062229779841,13.506782292902296,0.018996880862028546,13.588363426418308,0.019111622259378774,8.820978879928589,62.23543190956116
kdd-T5,9.544136334179615,0.026365017497733744,9.543161462857425,0.02636232448303156,9.543161462857425,0.02636232448303156,9.298207300869615,0.02568565552726413,0.5923082828521729,54.09485626220703
nn5-T3,8.327483807669257,0.1310116516096194,7.847835168143203,0.12346560746135667,7.847835168143203,0.12346560746135667,7.390328621922082,0.11626791250007187,0.10604691505432129,4.655407190322876
nn5-T2,5.112126524305433,0.1096054839121822,4.995617837441443,0.10710750367969263,4.995617837441443,0.10710750367969263,5.0067393225638135,0.10734595156490517,0.14542198181152344,5.12433385848999
kdd-T4,0.2154631942938006,0.02154631942938006,0.21212432900046344,0.021212432900046343,0.21212432900046344,0.021212432900046343,0.21122049141136126,0.021122049141136127,0.6243560314178467,58.79957723617554
traffic-T4,0.02483570546930189,0.0502035687675397,0.02213125537889311,0.0447367199896768,0.02213125537889311,0.0447367199896768,0.02160993152639905,0.04368290181200536,1.8540449142456055,118.16721200942993
sunspot-T1,31.678479935791337,0.059997121090513895,31.42591382607227,0.05951877618574294,31.44540603527832,0.05955569324863318,31.423993310585203,0.05951513884580531,26.69586420059204,122.7612578868866
traffic-T5,0.01305155371559309,0.032075580524927726,0.012366008383160949,0.030390780002853154,0.012366008383160949,0.030390780002853154,0.012432305371114312,0.030553711897552994,1.522881031036377,100.97706699371338
weather-T2804,3.5946584343869583,0.10572524807020466,3.483014231853268,0.10244159505450788,3.483014231853268,0.10244159505450788,3.496422218899035,0.1028359476146775,0.6254448890686035,73.6122989654541
traffic-T7,0.02004366970076882,0.05536925331704094,0.019508638053355173,0.05389126534076015,0.019508638053355173,0.05389126534076015,0.018374657578424214,0.050758722592332085,1.2748959064483643,95.94187211990356
tourism-T304,531.3065511132176,0.3312384982002603,512.527969703309,0.3195311531816141,492.9381915121355,0.30731807450881266,440.90959786688745,0.2748812954282341,0.9230551719665527,3.836229085922241
traffic-T6,0.02480666395852523,0.04863098207905358,0.022119814629785295,0.043363682865683775,0.022119814629785295,0.043363682865683775,0.021387525568470272,0.041928103447304986,1.3468708992004395,100.18741297721863
weather-T2801,3.771622789607167,0.11676850741817853,3.6494683411957536,0.11298663595033291,3.6494683411957536,0.11298663595033291,3.6531316882682865,0.11310005226836799,0.7588880062103271,203.72441601753235
traffic-T2,0.02063634944550401,0.045858554323342245,0.02002687997709951,0.0445041777268878,0.02002687997709951,0.0445041777268878,0.019952573047112593,0.04433905121580576,4.392980337142944,203.10602688789368
Weather-T2961,3.9277962720100073,0.13136442381304372,3.851754952235756,0.12882123586072763,3.851754952235756,0.12882123586072763,3.8839032545052525,0.12989642991656364,0.3328287601470947,43.28119707107544
tourism-T301,341.1349644435669,0.3170399297802666,318.7344130064342,0.2962215734260541,301.309943715888,0.2800278287322379,275.22154888174106,0.2557821086261534,1.5611989498138428,4.306152820587158
Weather-T2960,3.997343017091616,0.1336904019094186,3.889609277760256,0.13008726681472427,3.889609277760256,0.13008726681472427,3.905437969629956,0.13061665450267412,1.5902400016784668,102.47360587120056
traffic-T3,0.03805715455004639,0.09059070352308116,0.036716808674531434,0.08740016347186726,0.036716808674531434,0.08740016347186726,0.03679877565500653,0.08759527649370752,1.2073838710784912,214.58888506889343
weather-T2800,3.7555762281719294,0.11415125313592489,3.640259147188696,0.11064617468658648,3.640259147188696,0.11064617468658648,3.642318761979917,0.11070877695987587,0.8083009719848633,198.87860012054443
traffic-T1,0.02437318760417933,0.051344401946870295,0.02486960015210639,0.0523901414622001,0.02486960015210639,0.0523901414622001,0.02448150153952299,0.05157257539398144,1.1911451816558838,163.352885723114
weather-T2803,4.9665222078958635,0.14312744114973672,4.802940675613194,0.13841327595427075,4.802940675613194,0.13841327595427075,4.806399770209409,0.1385129616775046,0.7671899795532227,103.50870394706726
pedestrian-T5,252.6885263569478,0.034188678982133375,236.07940016832782,0.031941469377395185,236.07940016832782,0.031941469377395185,238.18248728013975,0.03222601640916517,4.917261123657227,258.8680498600006
pedestrian-T4,223.36482171963553,0.027740290824594577,216.0837743299088,0.026836037547181918,216.0837743299088,0.026836037547181918,214.38391116194933,0.026624926870584865,1.3728630542755127,232.05574917793274
