Dataset,Base RMSE,Base NRMSE,Offline RMSE,Offline NRMSE,Online RMSE,Online NRMSE,Periodic RMSE,Periodic NRMSE,Online Runtime,Periodic Runtime
kdd-T3,10.150657406064942,0.048801237529158374,10.237146721686678,0.049217051546570564,10.237146721686678,0.049217051546570564,10.087487083954045,0.04849753405747137,0.7532129287719727,47.847123861312866
nn5-T5,8.014554456250575,0.11269568800977289,7.96773279274888,0.11203731085220421,7.96773279274888,0.11203731085220421,7.704339108711731,0.10833363242540843,0.1342010498046875,4.907552003860474
nn5-T4,7.317856744648907,0.13453568835394128,6.918731735851867,0.12719794457574451,6.918731735851867,0.12719794457574451,6.707398389350682,0.1233126707536696,0.12947320938110352,4.5066118240356445
kdd-T2,52.37619865811405,0.02411427194204146,52.782207567041155,0.024301200537311766,52.840109833901415,0.024327859039549454,52.14777635902847,0.02400910513767425,5.148754119873047,43.63613486289978
nn5-T6,7.927673728967209,0.131463374457327,7.857898735715397,0.13030630664913714,7.857898735715397,0.13030630664913714,7.867107255302453,0.13045901009027994,0.14224600791931152,3.8660900592803955
nn5-T7,6.559025477865115,0.13802709147574177,6.466129373547278,0.13607220059573386,6.466129373547278,0.13607220059573386,6.503473339946166,0.13685806109949333,0.12963104248046875,4.451355934143066
kdd-T1,14.010378656172708,0.019705173918667662,13.835421453353893,0.019459101903451327,13.81582019683769,0.01943153332888564,13.82938614305938,0.019450613422024445,5.978931188583374,58.31401181221008
kdd-T5,9.677164201969237,0.02673249779549513,9.544714988838289,0.02636661599126599,9.544714988838289,0.02636661599126599,9.480373241847477,0.02618887635869469,0.7456600666046143,45.75361704826355
nn5-T3,8.00104547369377,0.12587597962627262,7.520863808353673,0.11832154968058761,7.520863808353673,0.11832154968058761,7.197719814858743,0.11323770571603861,0.11524581909179688,4.003360033035278
nn5-T2,4.670655775164254,0.10014022227152536,4.849848699597556,0.1039821708427845,4.849848699597556,0.1039821708427845,4.626046394267425,0.09918378413233354,0.1598060131072998,5.046087026596069
kdd-T4,0.2149375894686193,0.02149375894686193,0.212679661929613,0.0212679661929613,0.212679661929613,0.0212679661929613,0.2116445553619467,0.02116445553619467,0.7455251216888428,53.5413031578064
traffic-T4,0.024738126913218084,0.05000632082720454,0.022052642767340876,0.044577810324117395,0.022052642767340876,0.044577810324117395,0.02136913287903975,0.04319614489395543,2.170811891555786,94.86007404327393
sunspot-T1,31.946004585826074,0.06050379656406454,31.50940446604363,0.05967690239780991,31.492920266122063,0.059645682322200876,31.519395119782303,0.059695824090496785,21.241348028182983,114.78431224822998
traffic-T5,0.01291328873455796,0.03173577963764552,0.012167045860972616,0.02990180845655595,0.012167045860972616,0.02990180845655595,0.012069380520713302,0.029661785501875895,1.7867252826690674,93.7117030620575
weather-T2804,3.6120710130690576,0.10623738273732522,3.502517587317394,0.10301522315639394,3.502517587317394,0.10301522315639394,3.5091510767033602,0.10321032578539295,0.764716625213623,53.08598518371582
traffic-T7,0.01797152834818688,0.0496451059342179,0.01742747374992475,0.04814219267935014,0.01742747374992475,0.04814219267935014,0.01707717963990333,0.04717452939199815,1.5706968307495117,84.85946393013
tourism-T304,509.30745237859423,0.31752334936321336,492.7029321623336,0.3071714040912304,482.07771644850766,0.3005472047683963,447.6183771739351,0.2790638261682887,0.9451010227203369,4.02711820602417
traffic-T6,0.021631930470342915,0.04240723479777086,0.01998102360893747,0.039170797116129134,0.01998102360893747,0.039170797116129134,0.019480271289982615,0.03818912230931702,1.6698789596557617,80.53017616271973
weather-T2801,3.7622959019621707,0.11647974928675449,3.672026415821605,0.11368502835361005,3.672026415821605,0.11368502835361005,3.6783189384733403,0.11387984329638823,0.9472379684448242,135.66044402122498
traffic-T2,0.021033927020728937,0.0467420600460643,0.020556129187442568,0.045680287083205706,0.020556129187442568,0.045680287083205706,0.02009173821539845,0.04464830714532989,1.6539621353149414,259.0829539299011
Weather-T2961,3.941994556476137,0.13183928282528887,3.85287212895081,0.1288585996304619,3.85287212895081,0.1288585996304619,3.8727224634364865,0.129522490415936,1.3938848972320557,53.95356607437134
tourism-T301,314.68335418314655,0.2924566488690953,302.36269024608254,0.2810062177008202,294.7349708048922,0.2739172591123534,275.2786652840322,0.2558351907844165,1.3367698192596436,8.280622959136963
Weather-T2960,4.025685659590927,0.1346383163742785,3.8984342943739567,0.1303824178720387,3.8984342943739567,0.1303824178720387,3.904074613852317,0.1305710573194755,2.5728840827941895,116.8941080570221
traffic-T3,0.038209086425662675,0.09095235997539318,0.03680546491150709,0.08761119950370648,0.03680546491150709,0.08761119950370648,0.03680947687804782,0.08762074953117788,1.3714611530303955,141.7584011554718
weather-T2800,3.737915098382725,0.11361444068032597,3.641205659481353,0.11067494405718396,3.641205659481353,0.11067494405718396,3.6425100516426308,0.1107145912353383,1.3248648643493652,112.91115117073059
traffic-T1,0.024592715568289274,0.051806858159446544,0.024631269693888555,0.051888076035156,0.024631269693888555,0.051888076035156,0.024107341346743992,0.05078437191224772,3.8891961574554443,138.1775770187378
weather-T2803,5.043900653997907,0.14535736755037199,4.829078624545564,0.13916653096673096,4.829078624545564,0.13916653096673096,4.832245477537104,0.13925779474170333,0.8541960716247559,92.83801078796387
pedestrian-T5,244.4635119388016,0.033075837090894546,228.62740692104128,0.030933217010017763,228.62740692104128,0.030933217010017763,230.5231690722064,0.031189713039129537,4.79338002204895,216.69597172737122
pedestrian-T4,222.14181952261134,0.027588402821983524,213.0663508911358,0.026461295441025313,213.0663508911358,0.026461295441025313,213.33149906384108,0.026494224920993677,6.508198022842407,242.30143070220947
electricity-T4,24.42606124504855,0.009068045382791722,26.76559948392619,0.009936586516463841,25.843066740937797,0.009594101140020846,24.770304768021187,0.00919584396061936,19.71684718132019,188.80924010276794
electricity-T5,11.451612264206965,0.008627041650363387,11.811366262478698,0.008898061368405678,11.811366262478698,0.008898061368405678,11.330126664261172,0.00853552079666425,1.4414641857147217,172.12484788894653
saugeenday-T1,9.562608913287388,0.01499546638433023,9.33052169514275,0.014631522181500312,9.33052169514275,0.014631522181500312,9.313993208744884,0.014605603275434975,4.3041558265686035,164.14903903007507
electricity-T1,88.66096860017447,0.00946483215515811,92.95389450708521,0.009923115250921176,92.95389450708521,0.009923115250921176,89.47333313553926,0.009551554577633603,3.228583812713623,165.13389325141907
pedestrian-T3,185.96454833126518,0.03157292840938288,181.91940449744362,0.03088614677375953,181.91940449744362,0.03088614677375953,182.54100908463337,0.030991682357323153,2.266801357269287,217.58306574821472
pedestrian-T2,210.67311327980957,0.029946426905445567,202.60122956603712,0.028799037607112596,202.60122956603712,0.028799037607112596,202.3942966915201,0.028769622841722832,1.9297432899475098,144.1798119544983
electricity-T2,88.88000735544348,0.013060036834103339,99.74313757470316,0.014656266233925765,99.74313757470316,0.014656266233925765,89.62362932576788,0.013169304717984656,4.852231979370117,229.4267978668213
Weather-T2980,3.0842471758282817,0.09346203563116005,2.996438479437564,0.09080116604356255,2.996438479437564,0.09080116604356255,3.00139576330447,0.09095138676680212,1.9504179954528809,107.8150987625122
pedestrian-T1,142.5830778353084,0.025584618308865673,134.1430520686584,0.024070169041567988,134.1430520686584,0.024070169041567988,127.23435448437945,0.022830496049592582,3.668572187423706,145.42564463615417
electricity-T3,65.15559475539698,0.011833964190153866,64.34692929043405,0.01168708934095463,64.34692929043405,0.01168708934095463,59.85225027062666,0.010870737794071841,1.7033641338348389,201.24913716316223
