Dataset,Base RMSE,Base NRMSE,Offline RMSE,Offline NRMSE,Online RMSE,Online NRMSE,Periodic RMSE,Periodic NRMSE,Online Runtime,Periodic Runtime
kdd-T3,10.617664720057656,0.051046465000277194,10.495775473219307,0.05046045900586205,10.495775473219307,0.05046045900586205,10.40607381189484,0.0500292010187252,0.501971960067749,46.176462173461914
nn5-T5,9.293004153052266,0.1306724537742861,9.200765716970007,0.12937545416289428,9.200765716970007,0.12937545416289428,8.978302280028666,0.1262473114545282,0.11363983154296875,2.2961862087249756
nn5-T4,7.900352691258474,0.14524462894611717,7.862957463533253,0.14455713356615585,7.862957463533253,0.14455713356615585,7.677177636202856,0.14114165034144693,0.11497282981872559,6.26265811920166
kdd-T2,41.99840757607962,0.0193362834144013,40.95318110718959,0.01885505575837458,41.338731972923476,0.01903256536506606,40.75349719353855,0.018763120254852002,5.202374696731567,46.71396613121033
nn5-T6,9.881639877154068,0.16386568971374646,9.815182086361254,0.16276363055549947,9.815182086361254,0.16276363055549947,9.559283210031076,0.15852009948291254,0.12943696975708008,6.339625835418701
nn5-T7,7.398906065018688,0.1557014052930863,7.355236796648179,0.15478243613823298,7.355236796648179,0.15478243613823298,7.20111257389036,0.1515390704484651,0.12200427055358887,6.2618818283081055
kdd-T1,14.66354237814019,0.020623828942531914,14.39426880027795,0.020245103797859283,14.400123750388884,0.02025333860814189,14.40547892119683,0.02026087049394772,4.840308904647827,63.304691791534424
kdd-T5,11.096415606867913,0.030653081786927935,10.630147847425425,0.02936504930228018,10.630147847425425,0.02936504930228018,10.310207242201939,0.028481235475695962,0.4943530559539795,52.54377102851868
nn5-T3,10.14812504301725,0.1596547832854621,10.054179652883938,0.15817679293366577,10.054179652883938,0.15817679293366577,9.71592214466092,0.15285517648322738,0.10452985763549805,2.2276711463928223
nn5-T2,5.6528145302420025,0.12119799248066726,5.607313180809193,0.12022243027587266,5.607313180809193,0.12022243027587266,5.4834543561287035,0.11756686094452798,0.1434612274169922,2.145240068435669
kdd-T4,0.23858937712041764,0.023858937712041763,0.23303718295706224,0.023303718295706224,0.23303718295706224,0.023303718295706224,0.23054193634072773,0.023054193634072774,0.9959769248962402,59.55574107170105
traffic-T4,0.030760162320724736,0.06217942656301746,0.029523973045936822,0.05968056002817227,0.029523973045936822,0.05968056002817227,0.02789720324755586,0.05639216342744262,3.1825389862060547,96.23145866394043
