Dataset,Base RMSE,Base NRMSE,Offline RMSE,Offline NRMSE,Online RMSE,Online NRMSE,Periodic RMSE,Periodic NRMSE,Online Runtime,Periodic Runtime
kdd-T3,10.162408321479607,0.0488577323148058,10.159747378429024,0.04884493931937031,10.159747378429024,0.04884493931937031,10.099513683348585,0.048555354246868195,0.7132563591003418,51.06615114212036
nn5-T5,12.202997899440739,0.17159097883310845,11.989568726295177,0.16858987033228126,11.989568726295177,0.16858987033228126,11.402293036229965,0.16033196425595575,0.13060998916625977,3.882322072982788
nn5-T4,9.617841800213027,0.17681993679599553,9.405713950195194,0.17292005636419297,9.405713950195194,0.17292005636419297,8.663344707185017,0.15927191311593916,0.13359689712524414,3.365006923675537
kdd-T2,68.17920511565059,0.03139005760389069,68.25214344531317,0.0314236387869766,68.21390213810592,0.031406032291945635,68.28046903355943,0.03143668003386714,11.735125064849854,49.450807094573975
nn5-T6,11.385658437200686,0.1888065944368697,11.24164084689237,0.1864183732448239,11.24164084689237,0.1864183732448239,10.668668336055454,0.17691685964561057,0.1442558765411377,3.8659658432006836
nn5-T7,8.748212530207047,0.18409599646030683,8.676742940611783,0.18259200175650672,8.676742940611783,0.18259200175650672,8.404431714831517,0.1768615275271433,0.12302589416503906,7.985132932662964
kdd-T1,13.789269793633027,0.019394190989638575,13.63559928992691,0.01917805807303363,13.647592297863877,0.019194925876039208,13.64636501718353,0.019193199742874163,5.280571937561035,58.657613039016724
kdd-T5,9.829331029726532,0.027152848148415835,9.59457597578615,0.02650435352427113,9.59457597578615,0.02650435352427113,9.579445295073683,0.026462556063739456,0.7030131816864014,57.09660267829895
nn5-T3,12.169557232205351,0.19145684689061537,11.760453927019858,0.185020653085958,11.760453927019858,0.185020653085958,10.44361068595122,0.1643034938686106,0.1155540943145752,3.560837745666504
nn5-T2,6.99540659742639,0.14998355804144833,6.88992362573723,0.1477219723585595,6.88992362573723,0.1477219723585595,6.548891069331415,0.14041013486843662,0.15093207359313965,3.8214240074157715
kdd-T4,0.2247037506212738,0.02247037506212738,0.21912677440842465,0.021912677440842465,0.21912677440842465,0.021912677440842465,0.21378628385825293,0.021378628385825292,1.3651888370513916,60.562682151794434
traffic-T4,0.027475401139836004,0.055539521204439064,0.025474104235681482,0.051494045352095175,0.025474104235681482,0.051494045352095175,0.023899107144905587,0.04831030350698522,3.584892988204956,116.25870013237
