Dataset,Base RMSE,Base NRMSE,Offline RMSE,Offline NRMSE,Online RMSE,Online NRMSE,Periodic RMSE,Periodic NRMSE,Online Runtime,Periodic Runtime
kdd-T3,10.119588172034748,0.048651866211705516,10.155056438787481,0.04882238672493981,10.155056438787481,0.04882238672493981,10.087058890753514,0.04849547543631497,0.6896147727966309,57.4197301864624
nn5-T5,8.708571316411737,0.12245452213750735,8.333689895498592,0.1171831723846912,8.333689895498592,0.1171831723846912,8.003429820589915,0.11253926029111681,0.12450194358825684,3.7501561641693115
nn5-T4,7.745645882803516,0.14240040997671075,6.925055681287828,0.12731420762680276,6.925055681287828,0.12731420762680276,6.815154801195273,0.125293726621245,0.12485599517822266,3.7045531272888184
kdd-T2,48.24373643934533,0.022211665027322896,48.607407650501344,0.022379101128223455,49.02344460973599,0.022570646689565373,48.35336793960005,0.022262139935359138,5.796779155731201,64.28532576560974
nn5-T6,7.919527170793738,0.1313282813563352,7.8384501862451295,0.12998379439282173,7.8384501862451295,0.12998379439282173,7.79594533604057,0.1292789431048232,0.13905906677246094,3.381592035293579
nn5-T7,6.568402045362214,0.13822441047442813,6.711881714062558,0.1412437738575168,6.711881714062558,0.1412437738575168,6.779046555020606,0.14265718011400347,0.12673687934875488,3.3920040130615234
kdd-T1,13.901900800854023,0.01955260309543463,13.72124492311521,0.01929851606626612,13.72168778132582,0.019299138932947706,13.747575268121446,0.01933554890031146,5.830258131027222,51.309327840805054
kdd-T5,9.771826936033195,0.02699399706086518,9.645818839585798,0.02664590839664585,9.645818839585798,0.02664590839664585,9.61955227889439,0.026573348836724835,0.6853158473968506,52.58461308479309
nn5-T3,8.898573459809162,0.13999628613693083,8.094844102814589,0.12735166106902956,8.094844102814589,0.12735166106902956,7.565052201495448,0.1190167409894134,0.1143641471862793,3.6751649379730225
nn5-T2,4.809485820632865,0.10311677894374209,4.699322299641424,0.10075484091847436,4.699322299641424,0.10075484091847436,4.756242607411568,0.10197522892098464,0.14786720275878906,4.166413068771362
kdd-T4,0.22089376057567917,0.022089376057567917,0.21044533518139694,0.021044533518139695,0.21044533518139694,0.021044533518139695,0.20958860479830718,0.02095886047983072,0.6823279857635498,49.97463822364807
traffic-T4,0.026048564832865682,0.05265527558695307,0.023910281404311028,0.04833289145807768,0.023910281404311028,0.04833289145807768,0.022383198296461685,0.04524600423784452,1.9741079807281494,96.53428983688354
sunspot-T1,31.769797768023633,0.06017007153034779,31.46679819102104,0.05959620869511561,31.50107374927356,0.05966112452513932,31.49976403944603,0.059658644014102334,23.610311031341553,113.48115801811218
traffic-T5,0.012712871276459956,0.031243232431703016,0.012324875357325791,0.030289691219773388,0.012324875357325791,0.030289691219773388,0.01229503309945382,0.030216350699075502,1.6417210102081299,89.97066187858582
weather-T2804,3.638873389002979,0.10702568791185232,3.4978379203180885,0.10287758589170848,3.4978379203180885,0.10287758589170848,3.502344569106729,0.10301013438549203,0.6844799518585205,60.633076906204224
