Dataset,Base RMSE,Base NRMSE,Offline RMSE,Offline NRMSE,Online RMSE,Online NRMSE,Periodic RMSE,Periodic NRMSE,Online Runtime,Periodic Runtime
kdd-T3,10.119914048673305,0.048653432926313966,10.120200084056606,0.048654808096425986,10.120200084056606,0.048654808096425986,10.075204232781362,0.04843848188837193,0.5646548271179199,98.19837403297424
nn5-T5,10.464990993467156,0.14715220496194545,10.136074057332204,0.14252717925176564,10.136074057332204,0.14252717925176564,9.255700234629087,0.13014790923782943,0.12427997589111328,10.274099111557007
nn5-T4,9.104804139658082,0.16738795729397446,8.986274088325544,0.1652088326399818,8.986274088325544,0.1652088326399818,8.551850388000316,0.15722213740940646,0.13111615180969238,5.60312294960022
kdd-T2,38.07151633735422,0.017528322438929198,37.32979138756001,0.017186828447311238,37.32311043419594,0.017183752501931833,37.34217841759456,0.017192531499813334,10.520432233810425,80.49768590927124
nn5-T6,10.526038319448379,0.17455164837139311,10.423780096289292,0.17285591623834842,10.423780096289292,0.17285591623834842,10.15404063179556,0.16838286885534545,0.1405949592590332,4.976086854934692
nn5-T7,7.754132198262247,0.16317672767950606,7.695212453884321,0.16193682992725242,7.695212453884321,0.16193682992725242,7.479598292976044,0.15739947973527865,0.1345961093902588,13.434542655944824
kdd-T1,13.932239622817823,0.01959527373110805,13.73391505695605,0.019316336226379818,13.733098462445604,0.019315187710893956,13.780725345499896,0.019382173481715746,10.589911222457886,88.39216208457947
kdd-T5,10.241236249993873,0.028290707872911252,9.862869545457592,0.027245495981927048,9.862869545457592,0.027245495981927048,9.66660381699643,0.026703325461316103,0.6121480464935303,73.63053011894226
nn5-T3,11.262995824729115,0.17719442260710963,11.101331315540788,0.17465104517827387,11.101331315540788,0.17465104517827387,10.39407635739021,0.16352419794369086,0.10948586463928223,5.224745035171509
nn5-T2,6.051789987355639,0.12975214266417934,5.959974094946557,0.12778358314780594,5.959974094946557,0.12778358314780594,5.5936178480313234,0.1199287983461229,0.1453099250793457,5.281180381774902
kdd-T4,0.22998230346423526,0.022998230346423527,0.22586174311161136,0.022586174311161136,0.22586174311161136,0.022586174311161136,0.22192636421158365,0.022192636421158367,0.686164140701294,106.18469095230103
traffic-T4,0.02730960589756628,0.05520437820409598,0.0252646299293143,0.0510706083066794,0.0252646299293143,0.0510706083066794,0.02450711678067296,0.04953935067853843,1.9576749801635742,112.07115602493286
sunspot-T1,31.962053861910388,0.06053419292028483,31.523770318264393,0.05970411045125832,31.520721904422462,0.05969833694019406,31.5478607769164,0.059749736319917424,40.112902879714966,166.07639598846436
traffic-T5,0.015550968693030862,0.038218158498478406,0.014875155251222565,0.036557275132028916,0.014875155251222565,0.036557275132028916,0.014187139191536897,0.03486640253511157,1.662341833114624,131.57081818580627
weather-T2804,3.589547287479932,0.105574920219998,3.5004818871767656,0.10295534962284604,3.5004818871767656,0.10295534962284604,3.505417244328361,0.10310050718612827,0.644340991973877,75.45061492919922
traffic-T7,0.024774467504767635,0.06843775553803215,0.022735305830977687,0.06280471224026986,0.022735305830977687,0.06280471224026986,0.02148807635255603,0.05935932694076252,1.327437162399292,121.40248703956604
tourism-T304,518.758090225445,0.32341526822035227,510.2422508896181,0.31810614145238036,504.45966747235923,0.31450103957129627,490.5960359897689,0.3058578777991078,0.8503167629241943,3.676323175430298
traffic-T6,0.03016842425463253,0.059142176543094546,0.02666744604569461,0.05227885913682535,0.02666744604569461,0.05227885913682535,0.02503060804628772,0.04907000205114236,1.3604621887207031,122.54539895057678
weather-T2801,3.7565049432610214,0.11630046263966008,3.666652971977836,0.11351866786309088,3.666652971977836,0.11351866786309088,3.6636925247448064,0.113427013149994,0.650158166885376,91.5778980255127
traffic-T2,0.022260613890765033,0.049468030868366736,0.021371032077030745,0.04749118239340165,0.021371032077030745,0.04749118239340165,0.02110409917000608,0.04689799815556907,1.2401800155639648,104.8004400730133
Weather-T2961,3.921436406968318,0.13115171929659927,3.8583414202293698,0.1290415190712164,3.8583414202293698,0.1290415190712164,3.8607931149555537,0.12912351555035298,0.2574939727783203,27.936251878738403
tourism-T301,245.0115039660052,0.2277058587044658,246.88101108209986,0.2294433188495352,241.20178456403218,0.22416522728999275,238.0209949208326,0.22120910308627564,1.082185983657837,3.4644088745117188
Weather-T2960,4.100847515153626,0.1371520908078136,3.9405429308759516,0.1317907334741121,3.9405429308759516,0.1317907334741121,3.9391692701138568,0.13174479164260391,2.8528378009796143,86.42597389221191
traffic-T3,0.039926460405730224,0.0950403723059515,0.03864211191288523,0.09198312761934119,0.03864211191288523,0.09198312761934119,0.038429615635197416,0.09147730453510454,2.3396859169006348,126.00627493858337
weather-T2800,3.7372887307330402,0.11359540214994042,3.653878883741694,0.11106014844199676,3.653878883741694,0.11106014844199676,3.651166159932982,0.1109776948307897,0.6557340621948242,58.24230980873108
traffic-T1,0.03612439869368767,0.07609942846784848,0.03304522566033094,0.06961286214520948,0.03304522566033094,0.06961286214520948,0.029984100222673858,0.06316431477285414,1.0495061874389648,140.09570598602295
weather-T2803,5.037616897810682,0.14517627947581216,4.862410092927586,0.14012709201520424,4.862410092927586,0.14012709201520424,4.861321455823474,0.1400957191879964,0.6017227172851562,85.99668025970459
pedestrian-T5,291.16942778700593,0.03939513297077607,284.6414373528661,0.03851189789647762,284.6414373528661,0.03851189789647762,278.708950836023,0.037709234316874986,1.1619560718536377,150.73249101638794
pedestrian-T4,264.6395148215,0.032866308348422746,255.5332100793179,0.03173537134616467,255.5332100793179,0.03173537134616467,253.8915519772378,0.03153148931659685,3.8197710514068604,159.23953890800476
electricity-T4,26.32246534598911,0.009772075323555392,28.73672523243328,0.01066835647164951,28.039801874876023,0.010409627380157615,26.70107118784576,0.009912630729590909,14.65070104598999,154.51403403282166
electricity-T5,12.290604481264943,0.009259094206274049,13.537734163362563,0.010198616036269023,13.537734163362563,0.010198616036269023,12.523432963252606,0.009434494924108042,1.0991466045379639,146.6298222541809
saugeenday-T1,9.875713971865881,0.015486457537816968,9.747304243293387,0.015285093685578463,9.747304243293387,0.015285093685578463,9.713408365366988,0.015231940356542241,2.6601200103759766,140.08953213691711
electricity-T1,101.56686038938103,0.010842575952976633,108.71703403599146,0.01160587906723191,108.71703403599146,0.01160587906723191,102.8698961886443,0.010981679047911296,2.0064609050750732,165.27622723579407
pedestrian-T3,222.869299634772,0.037838590769910356,217.1628089981839,0.03686974685877485,217.1628089981839,0.03686974685877485,215.45224660876855,0.03657932879605578,1.082010269165039,150.1685676574707
pedestrian-T2,303.4347524100738,0.04313216096802755,281.01300120288744,0.03994498951000532,281.01300120288744,0.03994498951000532,271.85268123706675,0.03864288290505569,1.5197911262512207,147.12703895568848
electricity-T2,128.43467249253698,0.018872203135858554,130.38355606316185,0.01915857227527538,130.38355606316185,0.01915857227527538,126.81400914965428,0.018634062708292168,3.207918167114258,169.76156783103943
Weather-T2980,3.0851227751069517,0.0934885689426349,3.0244819658150943,0.09165096866106347,3.0244819658150943,0.09165096866106347,3.013898003300649,0.09133024252426208,1.760448932647705,86.71840691566467
pedestrian-T1,189.88477590202547,0.03407227272600493,180.23659284238786,0.03234103585903245,180.23659284238786,0.03234103585903245,167.11957211398558,0.02998736266175948,3.690930128097534,143.83999681472778
electricity-T3,75.19116907378222,0.013656687588769785,76.13080792439548,0.01382735063852905,76.13080792439548,0.01382735063852905,69.8806423105791,0.012692156702626753,8.188642740249634,226.68424797058105
