Dataset,Base RMSE,Base NRMSE,Offline RMSE,Offline NRMSE,Online RMSE,Online NRMSE,Periodic RMSE,Periodic NRMSE,Online Runtime,Periodic Runtime
kdd-T3,10.126868096129089,0.048686865846774466,10.157945756395932,0.048836277674980444,10.157945756395932,0.048836277674980444,10.091483972490309,0.04851674986774187,0.7262530326843262,69.05750513076782
nn5-T5,9.678947256010677,0.13609934603111062,9.194021698395446,0.1292806239614951,9.194021698395446,0.1292806239614951,8.591386184931766,0.12080673758644582,0.13273024559020996,7.158885955810547
nn5-T4,8.258119759866835,0.15182202455867733,7.772737299670362,0.14289847417007306,7.772737299670362,0.14289847417007306,7.083029357311335,0.13021848656901708,0.1318531036376953,7.55283522605896
kdd-T2,61.00838283819601,0.028088574050734814,61.04929014026514,0.028107407983547487,61.09047352008657,0.028126369023980923,60.945754455821984,0.028059739620544193,5.43533730506897,67.03396677970886
nn5-T6,9.014731798164954,0.1494898885260915,8.793887899205895,0.14582766866462235,8.793887899205895,0.14582766866462235,8.503367425500489,0.14101001305365796,0.14976906776428223,7.681405782699585
nn5-T7,8.370953122351771,0.176157009338843,8.21739585997669,0.17292557467341332,8.21739585997669,0.17292557467341332,7.691428069798236,0.1618571919489899,0.13442397117614746,7.883526086807251
kdd-T1,13.772499509976065,0.01937060409279334,13.601874988809275,0.019130625863304183,13.62367560880498,0.01916128777609702,13.612040114910018,0.019144922805780618,12.17120099067688,65.568284034729
kdd-T5,9.791889807449996,0.027049419357596673,9.615957703213773,0.026563419069651307,9.615957703213773,0.026563419069651307,9.618618058267536,0.02657076811676115,1.3171730041503906,69.09834313392639
nn5-T3,10.491263368967681,0.1650531869151304,9.948084781479313,0.15650766157885856,9.948084781479313,0.15650766157885856,8.47807324850108,0.1333807911737428,0.11348772048950195,3.643688201904297
nn5-T2,5.36579449340434,0.11504419916578866,5.22489504092998,0.11202327380371306,5.22489504092998,0.11202327380371306,5.01520904910342,0.10752754497257294,0.15888166427612305,7.15147590637207
kdd-T4,0.22476268721163836,0.022476268721163838,0.21496331828106033,0.021496331828106032,0.21496331828106033,0.021496331828106032,0.21365607364559677,0.021365607364559676,1.5548181533813477,62.00111699104309
traffic-T4,0.027062584568571534,0.05470504258858204,0.024937475566336843,0.05040928960245976,0.024937475566336843,0.05040928960245976,0.022896969737334922,0.04628455576578719,2.017643928527832,127.53195714950562
sunspot-T1,31.87297930153365,0.06036549110138949,31.6525628012087,0.05994803560834981,31.663459756878975,0.059968673781967755,31.69709082160867,0.060032368980319446,37.52303218841553,139.0177879333496
